Y (compra/vende),X1=precio,X2=puntos
0,7255.2,22
1,7080.8,27
1,7128.5,21
1,6903.5,24
1,6613.3,23
1,7276,15
1,7165.5,21
1,7196.4,23
1,7156.2,23
0,7495.8,20
1,7322.8,33
1,7268.3,25
0,7224.8,22
0,7210.9,39
0,7261.7,38
0,7321.5,37
0,7397.5,37
0,7261.8,40
0,7196.4,38
0,7199.8,37
0,6967,39
0,7343.1,38
0,7376.8,38
0,7372.5,39
0,7759.1,41
0,8155.7,40
0,8059.6,51
0,7842.4,44
0,8187.1,41
0,8024.1,50
0,8187.6,45
0,8111.4,49
0,8829.2,56
0,8818.3,54
0,8726.9,55
0,8913.1,54
0,8916.3,51
0,8706.2,53
0,8641.9,48
0,8732.6,49
0,8678.5,52
0,8405.1,49
0,8439.9,40
0,8341.6,41
0,8607.8,42
0,8866.6,50
0,9377.3,54
0,9298.9,57
0,9507.3,57
0,9349.1,55
0,9381.6,57
0,9334.9,57
0,9296.6,59
0,9193.9,56
0,9611.8,53
0,9772,61
0,9818.6,56
0,9895.5,56
0,10151.5,56
0,9854.1,57
0,10229.5,52
0,10317.7,61
0,10235.1,65
0,10333,63
0,9907.7,64
0,9932.3,59
0,9701.4,49
0,10158.4,53
0,9609.4,50
0,9602.4,44
0,9684.5,44
0,9655.7,43
0,9942.7,46
0,9662.7,46
0,9317.2,44
0,8800.3,41
0,8818.6,39
0,8697.5,40
0,8543.7,38
0,8540,39
0,8904.8,38
0,8761.4,38
0,8757.9,40
0,9060.3,41
0,9134.8,39
0,8887.8,38
1,8034.1,33
1,7933,17
1,7891.2,16
1,7935.1,17
1,4826,14
1,5584.3,10
1,5182.7,8
1,5366.3,12
1,5030,9
1,5261.1,8
1,5361.4,11
1,6172,12
1,6205.3,9
1,6186.2,9
1,5822.1,11
1,6468.9,10
1,6744.6,12
1,6678.9,13
1,6725.1,14
1,6373.4,12
1,6233.7,8
1,5890.4,12
1,6391,10
1,6412.5,12
1,6638.5,12
1,6800.5,14
1,6735.9,14
1,6857.4,12
1,6772.7,12
1,7332.3,12
1,7185.2,20
1,7361.2,21
1,7289,22
1,6863.1,15
1,6867.8,15
1,6917.6,10
1,6841.3,11
1,6850.9,15
1,6629.1,18
1,7085.6,13
1,7035.8,15
1,7230.8,18
1,7122.9,16
1,6833.5,15
1,6842.5,17
1,7112.9,19
1,7488.5,19
1,7503.8,20
1,7540.4,24
0,7678.9,21
0,7766,28
0,7746.9,26
0,8770.9,26
0,8629,44
0,8821.6,40
0,8966.3,40
0,8885.5,45
0,8874.7,44
0,9001,40
0,9151.4,42
0,9979.8,49
0,9806.2,55
0,9554.6,56
0,8738.8,48
0,8579.8,40
0,8813.8,39
0,9298.7,41
0,9778.4,40
0,9318,44
0,9379.5,41
0,9677.7,40
0,9730.7,50
0,9773.3,50
0,9512.3,52
0,9059,49
0,9169.7,42
0,9177,40
0,8728.2,43
0,8898.2,41
0,8842.5,39
0,9199.1,39
0,9572.2,41
0,9424.8,48
0,9692.5,48
0,9454.8,51
0,10189.3,50
0,9527.6,56
0,9667.2,48
0,9794.4,54
0,9631.2,53
0,9669.6,54
0,9742.6,54
0,9777.9,53
0,9768.8,52
0,9878.8,54
0,9283.2,52
0,9466.6,38
0,9471.3,38
0,9345.3,40
0,9425.4,37
0,9523.5,39
0,9464.6,38
0,9388.1,40
0,9314,39
0,9358.8,38
0,9296.4,37
0,9683.7,38
0,9624.6,41
0,9302,50
0,9247.5,43
0,9160,40
0,9008.3,43
0,9124,40
0,9185.4,41
0,9135.4,44
0,9229.9,42
0,9085.1,42
0,9067.1,41
0,9134.4,40
0,9081,38
0,9339,40
0,9256,43
0,9429.9,44
0,9235.7,44
0,9285.1,41
0,9233.3,44
0,9300.8,41
0,9243.6,43
0,9253.4,43
0,9198.7,44
0,9135.3,43
0,9155.8,41
0,9170.2,44
0,9208,41
0,9162.4,44
0,9387.3,44
0,9513.7,50
0,9599.6,55
0,9546.4,53
0,9704.1,55
0,9932.5,55
2,11022.8,58
0,10908.5,76
2,11105.9,71
0,11096.2,76
0,11333.4,75
2,11803.1,75
0,11066.8,80
0,11224.4,75
0,11184.7,72
2,11735.1,75
2,11757.1,79
2,11592,77
2,11764.3,77
2,11681.2,79
2,11889.2,78
0,11390.4,84
0,11557.2,75
2,11770.9,75
2,11750.8,78
2,11845.3,79
2,11899,82
2,12282.6,83
2,11947.6,82
0,11750.2,80
2,11856.9,75
2,11529.2,81
2,11661.3,78
2,11641.6,76
0,11753.5,78
2,11324.8,75
0,11462.3,76
0,11327.4,75
2,11527.4,74
0,11468.1,79
0,11702,75
0,11644.2,75
2,11914.9,75
2,11413.3,83
0,10168.8,79
0,10472.5,40
0,10092.2,41
0,10296.4,41
0,10376.9,41
0,10126.6,41
0,10224.6,38
0,10339.7,38
0,10390.2,41
0,10441.9,41
0,10326,38
0,10675.3,39
0,10785.3,47
0,10949.5,43
0,10941.3,48
0,10933,49
0,11081.8,48
0,10921.5,52
0,10416.8,48
0,10531.5,39
0,10237.3,43
0,10739.4,39
0,10688.8,46
0,10727.9,45
0,10776.2,47
0,10693.2,43
0,10840.9,45
0,10776.1,49
0,10620.5,45
0,10572.3,41
0,10544.2,40
0,10672.9,42
0,10789.5,42
0,10602.6,47
0,10670.9,43
0,10924.1,46
0,11054.2,48
0,11298.4,53
0,11371,55
0,11533.9,52
0,11423.8,56
0,11420.4,53
0,11503,56
0,11322,52
0,11362.1,56
0,11506.9,55
0,11753.4,55
0,11913.5,56
0,12808.7,61
0,12974.6,73
0,12934.1,74
2,13117.2,73
0,13032.2,76
0,13061.6,75
0,13657.8,61
0,13278.9,70
0,13457.2,67
0,13559.9,74
0,13797.3,73
0,13759.4,72
0,13561.4,71
0,14019.9,71
0,14145.6,74
2,15587.1,72
2,15577.9,90
2,14828.4,88
2,15483.7,82
2,15327.2,90
2,15303.6,90
2,15695.8,86
2,16294.7,87
2,16324.2,89
2,16071,90
2,15953,86
2,16715.8,90
2,17662.3,86
2,17774.6,91
2,17803.5,94
2,18675.2,86
2,18687.2,91
2,18412.9,94
2,18379.6,90
2,19152.6,88
2,18723,94
2,17162,93
2,17127.1,86
2,17730.7,87
2,18185.5,89
2,19698.1,88
2,18770.7,95
2,19218.8,92
2,19433.3,92
2,18658.1,92
2,19146.5,93
